Name_Short,G_cowa,P_debilis,P_evecta_leaf,P_evecta_Rhizome,E_cuneatum,P_anamense,A_marginata,E_cherrevensis,F_indica,H_perforata,R_dumetorum,C_filiformis,P_Kesiya,A_pulchellus,T_loureiri,R_succedanea,R_javanica,C_formosum,G_daltonii ,B_anceps,C_tomentosa,D_castanea_twig,D_castanea_leaf,L_coromandelica,E_succirubrum,T_mucronata,D_winitii,B_insulana,A_vanprukii,T_triptera,C_oblongifolius
G_cowa,0.0,9.324734497688185e-13,2.4930788189394138e-14,0.0008833251768935603,9.689152478998703e-12,0.0015933325263710058,0.023048114366160707,1.4384746322652858e-11,1.859484750042953e-11,0.0002611492085316881,6.168273402619617e-07,0.00011468042648699696,2.403873561947712e-14,5.178839813953894e-07,6.0970480219424625e-09,0.000162264949368364,5.4589766938200605e-12,4.3570375362743427e-13,0.001313470004195342,0.04604108998275458,0.0045330494651964325,1.722533186502853e-07,1.115122859267004e-06,0.0001262126663468058,2.7169235312728718e-05,5.006356353255427e-05,2.693660872976753e-10,7.344308453453081e-09,0.00034948458269964743,5.679609008003037e-05,0.06866799670569894
P_debilis,9.324734497688185e-13,0.0,1.116812499551381e-12,0.0009501719215485811,2.0234675580673424e-11,0.0017909703636607489,0.02633095967963707,5.076866378306144e-12,6.158799444370631e-13,0.00031119218470599655,1.0561376291668335e-06,0.00014340223611529877,6.481666807435751e-13,6.692404186862873e-07,8.710981982015593e-09,0.00024260937554368382,4.0506933052455954e-11,3.3791891986970562e-12,0.0017268069417838503,0.04868308495379072,0.005208308674155617,3.490030548513481e-07,8.603272766612532e-07,0.00014570233706910854,3.299869097833947e-05,3.93916932724374e-05,6.637859050380024e-11,6.824987289773189e-09,0.0004359226720461929,8.21207088252327e-05,0.07272616150045517
P_evecta_leaf,2.4930788189394138e-14,1.116812499551381e-12,0.0,0.0005307588036175169,1.3457264885701276e-10,0.000952290060557179,0.01668862688237667,2.317122949580759e-11,1.5345772398228356e-10,0.00013235611970263136,1.5522738634311378e-06,6.018310060103378e-05,8.703702952152848e-18,7.897701045353689e-08,1.5055536553065773e-08,9.66827692259244e-05,2.9088320440649445e-11,8.328213398773482e-17,0.0007991820393315031,0.03481688902376885,0.002865467853296024,1.8662995442166602e-08,2.9869452105570153e-06,5.65814020115228e-05,1.2067186064996642e-05,9.957481000167731e-05,1.0694918708726742e-09,4.824849075566064e-08,0.00019073495390426015,2.3011875787572065e-05,0.052914252394354246
P_evecta_Rhizome,0.0008833251768935603,0.0009501719215485811,0.0005307588036175169,0.0,0.0037906609683139433,2.1616635975830482e-09,1.4129346116769837e-05,0.0020905740537835475,0.0035263561258047165,2.976897266742472e-07,0.013445170176273486,5.308362009992109e-07,0.000538559362870795,0.0006816901504790717,0.005110126205670361,1.4047240055893713e-06,0.003148932699260243,0.00036755402052455376,1.6375890908641022e-07,4.670580509306356e-05,7.520562948970221e-07,0.00019616662143374084,0.026405418903856472,1.257945518240002e-06,1.2304730837613934e-05,0.07519941673602598,0.004948773542793463,0.009812300202092804,2.369675892485512e-06,7.893963287837533e-06,0.00012343327028544354
E_cuneatum,9.689152478998703e-12,2.0234675580673424e-11,1.3457264885701276e-10,0.0037906609683139433,0.0,0.005845999668427706,0.035151231658328105,6.6118294610004195e-12,8.262628607219024e-14,0.0005836808525575406,9.902619807133749e-08,0.00032995797205098275,1.3291207019047131e-10,1.2457943932497342e-06,3.595587828672913e-10,0.00042007665675594517,1.4753739304786796e-12,8.525893520497178e-10,0.002649503899838505,0.06704195104748747,0.007852937077089511,1.2662332063440614e-06,1.5910590365697169e-07,0.00032103903573522957,6.929954227734125e-05,1.4905675782139334e-05,3.904245609113107e-12,3.0166403711133127e-10,0.0006771365515539328,0.00015480590139964584,0.1269040030660227
P_anamense,0.0015933325263710058,0.0017909703636607489,0.000952290060557179,2.1616635975830482e-09,0.005845999668427706,0.0,1.069488262308858e-06,0.003408871572228431,0.005613899685532866,3.624514055350915e-07,0.017927702707253093,8.340863761750355e-06,0.0009882553467901402,0.0010238430234885186,0.007630163619103463,6.4262778122186965e-06,0.004903436594130784,0.0006996036351813003,4.996089808440973e-09,1.0667171253296632e-05,6.448664444256228e-09,0.00035125582483865953,0.03765250128961068,1.8912248772969316e-06,2.1290425000029406e-05,0.10096985285153574,0.007913168042451646,0.015031899646102952,1.0043296080639183e-06,9.620047547643061e-06,3.3060133249317544e-05
A_marginata,0.023048114366160707,0.02633095967963707,0.01668862688237667,1.4129346116769837e-05,0.035151231658328105,1.069488262308858e-06,0.0,0.024802877944462724,0.03521260872319716,0.00010345683811424861,0.07559703385933654,0.0003803340633588092,0.01708007129828413,0.009098110235329073,0.04151523406097355,0.0003173778263125751,0.030635204214112102,0.013856210547242478,5.982879318049469e-06,4.856781719644045e-08,6.454207589493504e-07,0.00490518235877958,0.13463339884104425,0.00021535559894450304,0.0009150908618164874,0.27975403522215647,0.04354083122190378,0.06955938209094421,0.00012643924770563451,0.00043614937774262276,1.2153908393234363e-06
E_cherrevensis,1.4384746322652858e-11,5.076866378306144e-12,2.317122949580759e-11,0.0020905740537835475,6.6118294610004195e-12,0.003408871572228431,0.024802877944462724,0.0,1.285303665182121e-11,0.0002510858174898034,5.596913045170496e-07,0.00015238346781466311,4.538034509782682e-11,4.187341039713825e-07,5.266250416829828e-09,0.00017826646234182826,1.4888469863684957e-11,1.2090312319129194e-10,0.0015106114896900709,0.048575860169447364,0.004960149282209342,2.4079068136153855e-07,1.058453950370941e-06,0.00015717720495737138,2.246074643702166e-05,4.754620986074821e-05,2.8674214969777653e-10,1.0418450292712477e-08,0.0003020194309256659,6.282265178630894e-05,0.09536636805225786
F_indica,1.859484750042953e-11,6.158799444370631e-13,1.5345772398228356e-10,0.0035263561258047165,8.262628607219024e-14,0.005613899685532866,0.03521260872319716,1.285303665182121e-11,0.0,0.0005749345102091203,1.9268912228189376e-07,0.00031158365943331876,1.286715785079625e-10,1.463185935776097e-06,9.842706783779578e-10,0.0004397780878724367,5.2723293884320694e-12,7.25293079145679e-10,0.002670469122224227,0.06447930170116081,0.0076036298080911354,1.2536096769142076e-06,1.9231781439074437e-07,0.00028693202167504343,7.068723866519169e-05,1.5799667505544364e-05,3.569400275003592e-12,4.1805446419674626e-10,0.0007162986632019598,0.00015779169993201286,0.12418127774795104
H_perforata,0.0002611492085316881,0.00031119218470599655,0.00013235611970263136,2.976897266742472e-07,0.0005836808525575406,3.624514055350915e-07,0.00010345683811424861,0.0002510858174898034,0.0005749345102091203,0.0,0.0027625892185829427,1.201140684649685e-07,0.00014436279236707688,4.671319396436221e-05,0.0008343703011615635,2.8492868492482244e-08,0.0004460689942570111,9.017216049686958e-05,3.9578663855045814e-08,0.0004871525971155181,2.4203786314747122e-06,7.640850426221751e-06,0.007653827868220709,1.641594261364558e-08,5.89592847343362e-08,0.02898393669828533,0.0008998093613141988,0.0022065040994032887,1.3002859120936122e-09,1.2998997239607388e-08,0.0019305989433533715
R_dumetorum,6.168273402619617e-07,1.0561376291668335e-06,1.5522738634311378e-06,0.013445170176273486,9.902619807133749e-08,0.017927702707253093,0.07559703385933654,5.596913045170496e-07,1.9268912228189376e-07,0.0027625892185829427,0.0,0.0019405604493658917,2.212399697873568e-06,9.262647493507323e-06,4.4694949473877545e-09,0.0018390831902498025,5.2957850444529735e-08,3.980478030387203e-06,0.008786062248642467,0.13356678855658877,0.019868842818927274,2.947884374726842e-05,2.6904223272985883e-08,0.0017862586187898661,0.0006958203539337566,6.278068517346498e-06,4.181388663023e-08,7.133943055267031e-09,0.0029918593961086965,0.0007543259811413513,0.2282682288757649
C_filiformis,0.00011468042648699696,0.00014340223611529877,6.018310060103378e-05,5.308362009992109e-07,0.00032995797205098275,8.340863761750355e-06,0.0003803340633588092,0.00015238346781466311,0.00031158365943331876,1.201140684649685e-07,0.0019405604493658917,0.0,6.10849602234323e-05,3.1730786448894956e-05,0.0004814637798086911,4.28166922984625e-08,0.00024154353083371765,3.642389578427667e-05,2.1269980215454317e-06,0.0011808024615476856,2.6177556424329332e-05,3.912449093072415e-06,0.004561914018192047,9.504000874056252e-08,5.804717270963567e-07,0.018932095087370163,0.00044704008354646445,0.0011772120089383054,2.1014043316556836e-06,2.1704369829765078e-07,0.004496827407956884
P_Kesiya,2.403873561947712e-14,6.481666807435751e-13,8.703702952152848e-18,0.000538559362870795,1.3291207019047131e-10,0.0009882553467901402,0.01708007129828413,4.538034509782682e-11,1.286715785079625e-10,0.00014436279236707688,2.212399697873568e-06,6.10849602234323e-05,0.0,1.9504507117874683e-07,2.9217851454955884e-08,0.0001096130942216628,9.802047436397226e-11,1.6822429810969084e-17,0.0008413027919756501,0.03528193044405092,0.003052109543362781,3.488957531602588e-08,3.104779717750301e-06,5.932883384329001e-05,1.2186303608130937e-05,9.666761416528013e-05,1.2986672182355392e-09,4.849331475866651e-08,0.00020839556849872908,2.8645369829597625e-05,0.05367009035895635
