,Name,Bioactivities,Values
0,G_cowa,Emax_amylase_1,99.75942261
1,G_cowa,Emax_amylase_2,99.43865277
2,G_cowa,Emax_amylase_3,99.51884523
3,G_cowa,IC50_amylase_1,0.133531621
4,G_cowa,IC50_amylase_2,0.13348797
5,G_cowa,IC50_amylase_3,0.13258872
6,G_cowa,Emax_glucosidase_1,51.12195122
7,G_cowa,Emax_glucosidase_2,51.56097561
8,G_cowa,Emax_glucosidase_3,50.68292683
9,G_cowa,IC50_glucosidase_1,0.630757381
10,G_cowa,IC50_glucosidase_2,0.608844381
11,G_cowa,IC50_glucosidase_3,0.644283782
12,P_debilis,Emax_amylase_1,99.3584603
13,P_debilis,Emax_amylase_2,99.67923015
14,P_debilis,Emax_amylase_3,99.43865277
15,P_debilis,IC50_amylase_1,0.136870056
16,P_debilis,IC50_amylase_2,0.137004509
17,P_debilis,IC50_amylase_3,0.136889435
18,P_debilis,Emax_glucosidase_1,50.02439024
19,P_debilis,Emax_glucosidase_2,50.09756098
20,P_debilis,Emax_glucosidase_3,49.87804878
21,P_debilis,IC50_glucosidase_1,0.697792869
22,P_debilis,IC50_glucosidase_2,0.727287099
23,P_debilis,IC50_glucosidase_3,0.731095424
24,P_evecta_leaf,Emax_amylase_1,93.82518043
25,P_evecta_leaf,Emax_amylase_2,93.90537289
26,P_evecta_leaf,Emax_amylase_3,93.82518043
27,P_evecta_leaf,IC50_amylase_1,0.136674822
28,P_evecta_leaf,IC50_amylase_2,0.134144455
29,P_evecta_leaf,IC50_amylase_3,0.134566309
30,P_evecta_leaf,Emax_glucosidase_1,51.7804878
31,P_evecta_leaf,Emax_glucosidase_2,52.0
32,P_evecta_leaf,Emax_glucosidase_3,52.07317073
33,P_evecta_leaf,IC50_glucosidase_1,0.575489784
34,P_evecta_leaf,IC50_glucosidase_2,0.572705659
35,P_evecta_leaf,IC50_glucosidase_3,0.566191922
36,P_evecta_Rhizome,Emax_amylase_1,36.08660786
