"","chi2","T","P","P.adjusted","comparisons"
"1",91.6325317535522,-3.53667847635077,0.000386734119832946,0.000386734119832946,"A_marginata - A_pulchellus"
"2",91.6325317535522,-5.99270519603881,5.72640790438711e-08,5.72640790438711e-08,"A_marginata - A_vanprukii"
"3",91.6325317535522,-2.45602671968804,0.00843185768303688,0.00843185768303688,"A_pulchellus - A_vanprukii"
"4",91.6325317535522,1.76833923817539,0.0409618174827537,0.0409618174827537,"A_marginata - B_anceps"
"5",91.6325317535522,5.30501771452616,7.99998750790021e-07,7.99998750790021e-07,"A_pulchellus - B_anceps"
"6",91.6325317535522,7.7610444342142,5.14181781653842e-11,5.14181781653842e-11,"A_vanprukii - B_anceps"
"7",91.6325317535522,-38.9034632398585,1.43136697075268e-45,1.43136697075268e-45,"A_marginata - B_insulana"
"8",91.6325317535522,-35.3667847635077,4.10225212713595e-43,4.10225212713595e-43,"A_pulchellus - B_insulana"
"9",91.6325317535522,-32.9107580438197,2.8473948253618e-41,2.8473948253618e-41,"A_vanprukii - B_insulana"
"10",91.6325317535522,-40.6718024780339,1.00756206923144e-46,1.00756206923144e-46,"B_anceps - B_insulana"
"11",91.6325317535522,-20.9253476517421,4.26905434413008e-30,4.26905434413008e-30,"A_marginata - C_filiformis"
"12",91.6325317535522,-17.3886691753913,7.91700128822322e-26,7.91700128822322e-26,"A_pulchellus - C_filiformis"
"13",91.6325317535522,-14.9326424557033,1.6560964135881e-22,1.6560964135881e-22,"A_vanprukii - C_filiformis"
"14",91.6325317535522,-22.6936868899175,4.94818859707526e-32,4.94818859707526e-32,"B_anceps - C_filiformis"
"15",91.6325317535522,17.9781155881164,1.40346876784995e-26,1.40346876784995e-26,"B_insulana - C_filiformis"
"16",91.6325317535522,-37.1351240016831,2.27826561078339e-44,2.27826561078339e-44,"A_marginata - C_formosum"
"17",91.6325317535522,-33.5984455253324,8.4471920214911e-42,8.4471920214911e-42,"A_pulchellus - C_formosum"
"18",91.6325317535522,-31.1424188056443,7.21127144977073e-40,7.21127144977073e-40,"A_vanprukii - C_formosum"
"19",91.6325317535522,-38.9034632398585,1.43136697075268e-45,1.43136697075268e-45,"B_anceps - C_formosum"
"20",91.6325317535522,1.76833923817539,0.0409618174827537,0.0409618174827537,"B_insulana - C_formosum"
"21",91.6325317535522,-16.209776349941,2.83930808510412e-24,2.83930808510412e-24,"C_filiformis - C_formosum"
"22",91.6325317535522,3.53667847635077,0.000386734119832946,0.000386734119832946,"A_marginata - C_oblongifolius"
"23",91.6325317535522,7.07335695270155,8.02515544962155e-10,8.02515544962155e-10,"A_pulchellus - C_oblongifolius"
"24",91.6325317535522,9.52938367238959,4.64478330466418e-14,4.64478330466418e-14,"A_vanprukii - C_oblongifolius"
"25",91.6325317535522,1.76833923817539,0.0409618174827537,0.0409618174827537,"B_anceps - C_oblongifolius"
"26",91.6325317535522,42.4401417162093,7.87817690786265e-48,7.87817690786265e-48,"B_insulana - C_oblongifolius"
"27",91.6325317535522,24.4620261280929,7.48140746742931e-34,7.48140746742931e-34,"C_filiformis - C_oblongifolius"
"28",91.6325317535522,40.6718024780339,1.00756206923144e-46,1.00756206923144e-46,"C_formosum - C_oblongifolius"
"29",91.6325317535522,-1.76833923817539,0.0409618174827537,0.0409618174827537,"A_marginata - C_tomentosa"
"30",91.6325317535522,1.76833923817539,0.0409618174827537,0.0409618174827537,"A_pulchellus - C_tomentosa"
"31",91.6325317535522,4.22436595786343,3.9964185504014e-05,3.9964185504014e-05,"A_vanprukii - C_tomentosa"
"32",91.6325317535522,-3.53667847635077,0.000386734119832946,0.000386734119832946,"B_anceps - C_tomentosa"
"33",91.6325317535522,37.1351240016831,2.27826561078339e-44,2.27826561078339e-44,"B_insulana - C_tomentosa"
"34",91.6325317535522,19.1570084135667,4.94276484027922e-28,4.94276484027922e-28,"C_filiformis - C_tomentosa"
"35",91.6325317535522,35.3667847635077,4.10225212713595e-43,4.10225212713595e-43,"C_formosum - C_tomentosa"
"36",91.6325317535522,-5.30501771452616,7.99998750790021e-07,7.99998750790021e-07,"C_oblongifolius - C_tomentosa"
"37",91.6325317535522,-31.830106287157,2.01361747608683e-40,2.01361747608683e-40,"A_marginata - D_castanea_leaf"
"38",91.6325317535522,-28.2934278108062,1.8791692588008e-37,1.8791692588008e-37,"A_pulchellus - D_castanea_leaf"
"39",91.6325317535522,-25.8374010911182,3.39361518837328e-35,3.39361518837328e-35,"A_vanprukii - D_castanea_leaf"
"40",91.6325317535522,-33.5984455253324,8.4471920214911e-42,8.4471920214911e-42,"B_anceps - D_castanea_leaf"
"41",91.6325317535522,7.07335695270155,8.02515544962155e-10,8.02515544962155e-10,"B_insulana - D_castanea_leaf"
"42",91.6325317535522,-10.9047586354149,2.36120924245438e-16,2.36120924245438e-16,"C_filiformis - D_castanea_leaf"
"43",91.6325317535522,5.30501771452616,7.99998750790021e-07,7.99998750790021e-07,"C_formosum - D_castanea_leaf"
"44",91.6325317535522,-35.3667847635077,4.10225212713595e-43,4.10225212713595e-43,"C_oblongifolius - D_castanea_leaf"
"45",91.6325317535522,-30.0617670489816,5.63382851229042e-39,5.63382851229042e-39,"C_tomentosa - D_castanea_leaf"
"46",91.6325317535522,-24.7567493344554,3.81058316042053e-34,3.81058316042053e-34,"A_marginata - D_castanea_twig"
"47",91.6325317535522,-21.2200708581046,1.99139969647748e-30,1.99139969647748e-30,"A_pulchellus - D_castanea_twig"
"48",91.6325317535522,-18.7640441384166,1.48327948540151e-27,1.48327948540151e-27,"A_vanprukii - D_castanea_twig"
